Ename,Start,Peak,Goes_class,Derived_pos
gev_20110314_0504,2011/03/14 05:04:00,05:08:00,C1.0,N15W42(1169)
gev_20110314_0705,2011/03/14 07:05:00,07:11:00,B9.9,N09E24()
gev_20110314_0807,2011/03/14 08:07:00,08:15:00,C1.4,N17W40(1169)
gev_20110314_1036,2011/03/14 10:36:00,10:42:00,B8.7,N15W45(1169)
gev_20110314_1339,2011/03/14 13:39:00,13:42:00,B9.7,N15W48()
gev_20110314_1602,2011/03/14 16:02:00,16:09:00,C2.2,N17W45(1169)
gev_20110314_1842,2011/03/14 18:42:00,18:45:00,B7.6,N08W75(1166)
gev_20110314_1914,2011/03/14 19:14:00,19:16:00,B6.6,N09W75(1166)
gev_20110314_1930,2011/03/14 19:30:00,19:38:00,M4.2,N16W49(1169)
gev_20110314_2255,2011/03/14 22:55:00,22:59:00,B7.4,N15W50(1169)
gev_20110314_2317,2011/03/14 23:17:00,23:24:00,C5.2,N13E38()
gev_20110315_0018,2011/03/15 00:18:00,00:22:00,M1.0,N11W83(1166)
gev_20110315_0306,2011/03/15 03:06:00,03:09:00,B8.9,N14W56()
gev_20110315_0415,2011/03/15 04:15:00,04:16:00,B7.5,N08W80(1166)
gev_20110315_0504,2011/03/15 05:04:00,05:12:00,C2.1,S82E10
gev_20110315_0652,2011/03/15 06:52:00,06:57:00,C1.4,S83E10
gev_20110315_0807,2011/03/15 08:07:00,08:11:00,B6.9,N14W87()
gev_20110315_0846,2011/03/15 08:46:00,08:52:00,C1.5,N16W54(1169)
gev_20110315_0909,2011/03/15 09:09:00,09:42:00,C2.6,N15W53(1169)
gev_20110315_1121,2011/03/15 11:21:00,11:25:00,C1.1,N17W60(1169)
gev_20110315_1311,2011/03/15 13:11:00,13:15:00,B5.6,N17W56(1169)
gev_20110315_1728,2011/03/15 17:28:00,17:30:00,C2.9,N09W88(1166)
gev_20110315_1858,2011/03/15 18:58:00,19:00:00,B5.6,N08W88(1166)
gev_20110315_2155,2011/03/15 21:55:00,21:59:00,B5.3,N15W62(1169)
gev_20110315_2213,2011/03/15 22:13:00,22:16:00,B6.1,N16W67()
gev_20110316_0337,2011/03/16 03:37:00,03:40:00,B7.5,N15W66(1169)
gev_20110316_0458,2011/03/16 04:58:00,05:00:00,B8.3,N19W62()
gev_20110316_0829,2011/03/16 08:29:00,08:47:00,C1.4,S28E48(1173)
gev_20110316_0919,2011/03/16 09:19:00,09:30:00,B7.8,S28E50(1173)
gev_20110316_1347,2011/03/16 13:47:00,13:51:00,C1.4,N15W71(1169)
gev_20110316_1753,2011/03/16 17:53:00,20:33:00,C3.8,N23W86()
gev_20110317_1150,2011/03/17 11:50:00,11:53:00,B4.6,N16W83(1169)
gev_20110313_1940,2011/03/13 19:40:00,19:44:00,B7.1,N07W59(1167)
gev_20110313_2150,2011/03/13 21:50:00,21:59:00,C1.7,N17W34()
gev_20110314_0013,2011/03/14 00:13:00,00:15:00,C4.0,N08W63(1167)
gev_20110314_0133,2011/03/14 01:33:00,01:38:00,B8.5,N11W66(1167)
gev_20110314_0243,2011/03/14 02:43:00,02:47:00,B6.3,N10W67(1167)
gev_20110314_0504,2011/03/14 05:04:00,05:08:00,C1.0,N15W42()
gev_20110314_0705,2011/03/14 07:05:00,07:11:00,B9.9,N09E24()
gev_20110314_0807,2011/03/14 08:07:00,08:15:00,C1.4,N17W40()
gev_20110314_1036,2011/03/14 10:36:00,10:42:00,B8.7,N15W45()
gev_20110314_1339,2011/03/14 13:39:00,13:42:00,B9.7,N15W48()
gev_20110314_1602,2011/03/14 16:02:00,16:09:00,C2.2,N17W45()
gev_20110314_1842,2011/03/14 18:42:00,18:45:00,B7.6,N08W75(1166)
gev_20110314_1914,2011/03/14 19:14:00,19:17:00,B6.6,N15W49()
gev_20110314_1930,2011/03/14 19:30:00,19:38:00,M4.2,N16W49()
gev_20110314_2255,2011/03/14 22:55:00,22:59:00,B7.4,N15W50()
gev_20110314_2317,2011/03/14 23:17:00,23:24:00,C5.2,N13E38()
gev_20110315_0018,2011/03/15 00:18:00,00:22:00,M1.0,N11W83(1166)
gev_20110315_0306,2011/03/15 03:06:00,03:09:00,B8.9,N14W56()
gev_20110315_0415,2011/03/15 04:15:00,04:16:00,B7.5,N08W80(1166)
gev_20110315_0504,2011/03/15 05:04:00,05:12:00,C2.1,S82E10
gev_20110315_0652,2011/03/15 06:52:00,06:57:00,C1.4,S83E10
gev_20110315_0807,2011/03/15 08:07:00,08:11:00,B6.9,N14W87()
gev_20110315_0846,2011/03/15 08:46:00,08:52:00,C1.5,N16W54()
gev_20110315_0925,2011/03/15 09:25:00,09:42:00,C2.6,S83E09
gev_20110315_1121,2011/03/15 11:21:00,11:25:00,C1.1,N17W60()
gev_20110315_1311,2011/03/15 13:11:00,13:15:00,B5.6,N17W56()
gev_20110315_1728,2011/03/15 17:28:00,17:30:00,C2.9,N09W88(1166)
gev_20110315_1858,2011/03/15 18:58:00,19:02:00,B5.6,N15W61()
gev_20110315_2155,2011/03/15 21:55:00,21:59:00,B5.3,N15W62()
gev_20110315_2213,2011/03/15 22:13:00,22:17:00,B6.1,N16W68()
gev_20110316_0337,2011/03/16 03:37:00,03:40:00,B7.5,N15W66()
gev_20110316_0458,2011/03/16 04:58:00,05:02:00,B8.3,N15W67()
gev_20110316_0835,2011/03/16 08:35:00,08:47:00,C1.3,S27E48(1173)
gev_20110316_0919,2011/03/16 09:19:00,09:30:00,B7.8,S28E50(1173)
gev_20110316_1347,2011/03/16 13:47:00,13:51:00,C1.4,N15W71()
gev_20110316_1752,2011/03/16 17:52:00,20:34:00,C3.7,N23W86()
gev_20110317_1150,2011/03/17 11:50:00,11:53:00,B4.6,N16W83(1169)
gev_20110318_0215,2011/03/18 02:15:00,02:18:00,B2.8,S19W63()
gev_20110318_0350,2011/03/18 03:50:00,03:56:00,B5.4,S25W83()
gev_20110318_1140,2011/03/18 11:40:00,11:45:00,B3.3,N11W03()
gev_20110314_0133,2011/03/14 01:33:00,01:38:00,B8.5,N11W66(1167)
gev_20110314_0243,2011/03/14 02:43:00,02:47:00,B6.3,N10W67(1166)
gev_20110314_0504,2011/03/14 05:04:00,05:08:00,C1.0,N15W42()
gev_20110314_0705,2011/03/14 07:05:00,07:11:00,B9.9,N09E24()
gev_20110314_0807,2011/03/14 08:07:00,08:15:00,C1.4,N17W40()
gev_20110314_1036,2011/03/14 10:36:00,10:42:00,B8.7,N15W45()
gev_20110314_1339,2011/03/14 13:39:00,13:42:00,B9.7,N15W48()
gev_20110314_1602,2011/03/14 16:02:00,16:09:00,C2.2,N17W45()
gev_20110314_1842,2011/03/14 18:42:00,18:45:00,B7.6,N08W75(1166)
gev_20110314_1914,2011/03/14 19:14:00,19:17:00,B6.6,N15W49()
gev_20110314_1930,2011/03/14 19:30:00,19:38:00,M4.2,N16W49()
gev_20110314_2255,2011/03/14 22:55:00,22:59:00,B7.4,N15W50()
gev_20110314_2317,2011/03/14 23:17:00,23:24:00,C5.2,N13E38()
gev_20110315_0018,2011/03/15 00:18:00,00:22:00,M1.0,N11W83(1166)
gev_20110315_0306,2011/03/15 03:06:00,03:09:00,B8.9,N14W56()
gev_20110315_0415,2011/03/15 04:15:00,04:16:00,B7.5,N08W80(1166)
gev_20110315_0504,2011/03/15 05:04:00,05:12:00,C2.1,S82E10
gev_20110315_0652,2011/03/15 06:52:00,06:57:00,C1.4,S83E10
gev_20110315_0807,2011/03/15 08:07:00,08:11:00,B6.9,N14W87()
gev_20110315_0846,2011/03/15 08:46:00,08:52:00,C1.5,N16W54()
gev_20110315_0925,2011/03/15 09:25:00,09:42:00,C2.6,S83E09
gev_20110315_1121,2011/03/15 11:21:00,11:25:00,C1.1,N17W60()
gev_20110315_1311,2011/03/15 13:11:00,13:15:00,B5.6,N17W56()
gev_20110315_1728,2011/03/15 17:28:00,17:30:00,C2.9,N09W88(1166)
gev_20110315_1858,2011/03/15 18:58:00,19:02:00,B5.6,N15W61()
gev_20110315_2155,2011/03/15 21:55:00,21:59:00,B5.3,N15W62()
gev_20110315_2213,2011/03/15 22:13:00,22:17:00,B6.1,N16W68()
gev_20110316_0337,2011/03/16 03:37:00,03:40:00,B7.5,N15W66()
gev_20110316_0458,2011/03/16 04:58:00,05:02:00,B8.3,N15W67()
gev_20110316_0835,2011/03/16 08:35:00,08:47:00,C1.3,S27E48(1173)
gev_20110316_0919,2011/03/16 09:19:00,09:30:00,B7.8,S28E50(1173)
gev_20110316_1347,2011/03/16 13:47:00,13:51:00,C1.4,N15W71()
gev_20110316_1752,2011/03/16 17:52:00,20:34:00,C3.7,N23W86()
gev_20110317_1150,2011/03/17 11:50:00,11:53:00,B4.6,N16W83(1169)
gev_20110318_0215,2011/03/18 02:15:00,02:18:00,B2.8,S19W63()
gev_20110318_0350,2011/03/18 03:50:00,03:56:00,B5.4,S25W83()
gev_20110318_1140,2011/03/18 11:40:00,11:45:00,B3.3,N11W03(1175)
gev_20110319_1625,2011/03/19 16:25:00,16:34:00,B2.7,S29E05(1173)
gev_20110319_2013,2011/03/19 20:13:00,20:16:00,B3.4,S29E00(1173)
gev_20110319_2139,2011/03/19 21:39:00,21:44:00,B2.9,N13W29()
gev_20110314_0504,2011/03/14 05:04:00,05:08:00,C1.0,N15W42()
gev_20110314_0705,2011/03/14 07:05:00,07:11:00,B9.9,N09E24()
gev_20110314_0807,2011/03/14 08:07:00,08:15:00,C1.4,N17W40()
gev_20110314_1036,2011/03/14 10:36:00,10:42:00,B8.7,N15W45()
gev_20110314_1339,2011/03/14 13:39:00,13:42:00,B9.7,N15W48()
gev_20110314_1602,2011/03/14 16:02:00,16:09:00,C2.2,N17W45()
gev_20110314_1842,2011/03/14 18:42:00,18:45:00,B7.6,N08W75(1166)
gev_20110314_1914,2011/03/14 19:14:00,19:17:00,B6.6,N15W49()
gev_20110314_1930,2011/03/14 19:30:00,19:38:00,M4.2,N16W49()
gev_20110314_2255,2011/03/14 22:55:00,22:59:00,B7.4,N15W50()
gev_20110314_2317,2011/03/14 23:17:00,23:24:00,C5.2,N13E38()
gev_20110315_0018,2011/03/15 00:18:00,00:22:00,M1.0,N11W83()
gev_20110315_0306,2011/03/15 03:06:00,03:09:00,B8.9,N14W56()
gev_20110315_0415,2011/03/15 04:15:00,04:16:00,B7.5,N08W80()
gev_20110315_0504,2011/03/15 05:04:00,05:12:00,C2.1,S82E10
gev_20110315_0652,2011/03/15 06:52:00,06:57:00,C1.4,S83E10
gev_20110315_0807,2011/03/15 08:07:00,08:11:00,B6.9,N14W87()
gev_20110315_0846,2011/03/15 08:46:00,08:52:00,C1.5,N16W54()
gev_20110315_0925,2011/03/15 09:25:00,09:42:00,C2.6,S83E09
gev_20110315_1121,2011/03/15 11:21:00,11:25:00,C1.1,N17W60()
gev_20110315_1311,2011/03/15 13:11:00,13:15:00,B5.6,N17W56()
gev_20110315_1728,2011/03/15 17:28:00,17:30:00,C2.9,N09W88()
gev_20110315_1858,2011/03/15 18:58:00,19:02:00,B5.6,N15W61()
gev_20110315_2155,2011/03/15 21:55:00,21:59:00,B5.3,N15W62()
gev_20110315_2213,2011/03/15 22:13:00,22:17:00,B6.1,N16W68()
gev_20110316_0337,2011/03/16 03:37:00,03:40:00,B7.5,N15W66()
gev_20110316_0458,2011/03/16 04:58:00,05:02:00,B8.3,N15W67()
gev_20110316_0835,2011/03/16 08:35:00,08:47:00,C1.3,S27E48(1173)
gev_20110316_0919,2011/03/16 09:19:00,09:30:00,B7.8,S28E50(1173)
gev_20110316_1347,2011/03/16 13:47:00,13:51:00,C1.4,N15W71()
gev_20110316_1752,2011/03/16 17:52:00,20:34:00,C3.7,N23W86(1164)
gev_20110317_1150,2011/03/17 11:50:00,11:53:00,B4.6,N16W83()
gev_20110318_0215,2011/03/18 02:15:00,02:18:00,B2.8,S19W63()
gev_20110318_0350,2011/03/18 03:50:00,03:56:00,B5.4,S25W83()
gev_20110318_1140,2011/03/18 11:40:00,11:45:00,B3.3,N11W03()
gev_20110319_1621,2011/03/19 16:21:00,16:34:00,B2.7,N22W60(1174)
gev_20110319_2013,2011/03/19 20:13:00,20:16:00,B3.4,S29E00(1173)
gev_20110319_2139,2011/03/19 21:39:00,21:44:00,B2.9,N13W29()
gev_20110320_0116,2011/03/20 01:16:00,02:58:00,B4.7,N12W36()
gev_20110320_0725,2011/03/20 07:25:00,07:33:00,B7.1,N33E36()
gev_20110315_0018,2011/03/15 00:18:00,00:22:00,M1.0,N11W83(1166)
gev_20110315_0306,2011/03/15 03:06:00,03:09:00,B8.9,N14W56()
gev_20110315_0415,2011/03/15 04:15:00,04:16:00,B7.5,N08W80(1166)
gev_20110315_0504,2011/03/15 05:04:00,05:12:00,C2.1,S82E10
gev_20110315_0652,2011/03/15 06:52:00,06:57:00,C1.4,S83E10
gev_20110315_0807,2011/03/15 08:07:00,08:11:00,B6.9,N14W87()
gev_20110315_0846,2011/03/15 08:46:00,08:52:00,C1.5,N16W54()
gev_20110315_0925,2011/03/15 09:25:00,09:42:00,C2.6,S83E09
gev_20110315_1121,2011/03/15 11:21:00,11:25:00,C1.1,N17W60()
gev_20110315_1311,2011/03/15 13:11:00,13:15:00,B5.6,N17W56()
gev_20110315_1728,2011/03/15 17:28:00,17:30:00,C2.9,N09W88(1166)
gev_20110315_1858,2011/03/15 18:58:00,19:02:00,B5.6,N15W61()
gev_20110315_2155,2011/03/15 21:55:00,21:59:00,B5.3,N15W62()
gev_20110315_2213,2011/03/15 22:13:00,22:17:00,B6.1,N16W68()
gev_20110316_0337,2011/03/16 03:37:00,03:40:00,B7.5,N15W66()
gev_20110316_0458,2011/03/16 04:58:00,05:02:00,B8.3,N15W67()
gev_20110316_0835,2011/03/16 08:35:00,08:47:00,C1.3,S27E48(1173)
gev_20110316_0919,2011/03/16 09:19:00,09:30:00,B7.8,S28E50(1173)
gev_20110316_1347,2011/03/16 13:47:00,13:51:00,C1.4,N15W71()
gev_20110316_1752,2011/03/16 17:52:00,20:34:00,C3.7,N23W86()
gev_20110317_1150,2011/03/17 11:50:00,11:53:00,B4.6,N16W83(1169)
gev_20110318_0215,2011/03/18 02:15:00,02:18:00,B2.8,S19W63()
gev_20110318_0350,2011/03/18 03:50:00,03:56:00,B5.4,S25W83()
gev_20110318_1140,2011/03/18 11:40:00,11:45:00,B3.3,N11W03(1175)
gev_20110319_1621,2011/03/19 16:21:00,16:34:00,B2.7,N22W60(1174)
gev_20110319_2013,2011/03/19 20:13:00,20:16:00,B3.4,S29E00(1173)
gev_20110319_2139,2011/03/19 21:39:00,21:44:00,B2.9,N13W29()
gev_20110320_0116,2011/03/20 01:16:00,02:58:00,B4.7,N12W36()
gev_20110320_0725,2011/03/20 07:25:00,07:33:00,B7.1,N33E36
gev_20110320_1330,2011/03/20 13:30:00,14:48:00,B6.6,S19E87()
gev_20110321_1145,2011/03/21 11:45:00,11:47:00,C2.6,N20W87()
gev_20110321_1152,2011/03/21 11:52:00,11:57:00,C1.0,S21E87()
gev_20110321_1523,2011/03/21 15:23:00,16:30:00,C3.3,S20E87()
gev_20110316_0337,2011/03/16 03:37:00,03:40:00,B7.5,N15W66()
gev_20110316_0458,2011/03/16 04:58:00,05:02:00,B8.3,N15W67()
gev_20110316_0835,2011/03/16 08:35:00,08:47:00,C1.3,S27E48(1173)
gev_20110316_0919,2011/03/16 09:19:00,09:30:00,B7.8,S28E50(1173)
gev_20110316_1347,2011/03/16 13:47:00,13:51:00,C1.4,N15W71()
gev_20110316_1752,2011/03/16 17:52:00,20:34:00,C3.7,N23W86()
gev_20110317_1150,2011/03/17 11:50:00,11:53:00,B4.6,N16W83(1169)
gev_20110318_0215,2011/03/18 02:15:00,02:18:00,B2.8,S19W63()
gev_20110318_0350,2011/03/18 03:50:00,03:56:00,B5.4,S25W83()
gev_20110318_1140,2011/03/18 11:40:00,11:45:00,B3.3,N11W03(1175)
gev_20110319_1621,2011/03/19 16:21:00,16:34:00,B2.7,N22W60(1174)
gev_20110319_2013,2011/03/19 20:13:00,20:16:00,B3.4,S29E00(1173)
gev_20110319_2139,2011/03/19 21:39:00,21:44:00,B2.9,N13W29()
gev_20110320_0116,2011/03/20 01:16:00,02:58:00,B4.7,N12W36()
gev_20110320_0725,2011/03/20 07:25:00,07:33:00,B7.1,N33E36
gev_20110320_1330,2011/03/20 13:30:00,14:48:00,B6.6,S19E87()
gev_20110321_1145,2011/03/21 11:45:00,11:47:00,C2.6,N20W87()
gev_20110321_1152,2011/03/21 11:52:00,11:57:00,C1.0,S21E87()
gev_20110321_1523,2011/03/21 15:23:00,16:30:00,C3.3,S20E87()
gev_20110321_1531,2011/03/21 15:31:00,17:19:00,C4.2,S20E87()
gev_20110322_0320,2011/03/22 03:20:00,03:25:00,C1.9,N19E80()
gev_20110322_0331,2011/03/22 03:31:00,03:37:00,C3.9,S19E87()
gev_20110322_1542,2011/03/22 15:42:00,15:46:00,C2.5,S19E88()
gev_20110317_1150,2011/03/17 11:50:00,11:53:00,B4.6,N16W83(1169)
gev_20110318_0215,2011/03/18 02:15:00,02:18:00,B2.8,S19W63()
gev_20110318_0350,2011/03/18 03:50:00,03:56:00,B5.4,S25W83()
gev_20110318_1140,2011/03/18 11:40:00,11:45:00,B3.3,N11W03(1175)
gev_20110319_1621,2011/03/19 16:21:00,16:34:00,B2.7,N22W60(1174)
gev_20110319_2013,2011/03/19 20:13:00,20:16:00,B3.4,S29E00(1173)
gev_20110319_2139,2011/03/19 21:39:00,21:44:00,B2.9,N13W29()
gev_20110320_0116,2011/03/20 01:16:00,02:58:00,B4.7,N12W36()
gev_20110320_0725,2011/03/20 07:25:00,07:33:00,B7.1,N33E36
gev_20110320_1330,2011/03/20 13:30:00,14:48:00,B6.6,S19E87()
gev_20110321_1145,2011/03/21 11:45:00,11:47:00,C2.6,N20W87()
gev_20110321_1152,2011/03/21 11:52:00,11:57:00,C1.0,S21E87()
gev_20110321_1523,2011/03/21 15:23:00,16:30:00,C3.3,S20E87()
gev_20110321_1531,2011/03/21 15:31:00,17:19:00,C4.2,S20E87()
gev_20110322_0320,2011/03/22 03:20:00,03:25:00,C1.9,N19E80()
gev_20110322_0331,2011/03/22 03:31:00,03:37:00,C3.9,S19E87()
gev_20110322_1542,2011/03/22 15:42:00,15:46:00,C2.5,S19E88(1176)
gev_20110322_2119,2011/03/22 21:19:00,22:12:00,C1.6,S15E88()
gev_20110323_0203,2011/03/23 02:03:00,02:17:00,M1.4,S18E70()
gev_20110323_1547,2011/03/23 15:47:00,15:50:00,B5.7,N19E59()
gev_20110323_1706,2011/03/23 17:06:00,17:10:00,C1.1,S18E64()
gev_20110318_0215,2011/03/18 02:15:00,02:18:00,B2.8,S19W63()
gev_20110318_0350,2011/03/18 03:50:00,03:56:00,B5.4,S25W83()
gev_20110318_1140,2011/03/18 11:40:00,11:45:00,B3.3,N11W03(1175)
gev_20110319_1621,2011/03/19 16:21:00,16:34:00,B2.7,N22W60(1174)
gev_20110319_2013,2011/03/19 20:13:00,20:16:00,B3.4,S29E00(1173)
gev_20110319_2139,2011/03/19 21:39:00,21:44:00,B2.9,N13W29()
gev_20110320_0116,2011/03/20 01:16:00,02:58:00,B4.7,N12W36()
gev_20110320_0725,2011/03/20 07:25:00,07:33:00,B7.1,N33E36
gev_20110320_1330,2011/03/20 13:30:00,14:48:00,B6.6,S19E87()
gev_20110321_1145,2011/03/21 11:45:00,11:47:00,C2.6,N20W87()
gev_20110321_1152,2011/03/21 11:52:00,11:57:00,C1.0,S21E87()
gev_20110321_1523,2011/03/21 15:23:00,16:30:00,C3.3,S20E87(1176)
gev_20110321_1531,2011/03/21 15:31:00,17:19:00,C4.2,S20E87(1176)
gev_20110322_0320,2011/03/22 03:20:00,03:25:00,C1.9,N19E80(1177)
gev_20110322_0331,2011/03/22 03:31:00,03:37:00,C3.9,S19E87(1176)
gev_20110322_1542,2011/03/22 15:42:00,15:46:00,C2.5,S19E88(1176)
gev_20110322_2119,2011/03/22 21:19:00,22:12:00,C1.6,S15E88()
gev_20110323_0203,2011/03/23 02:03:00,02:17:00,M1.4,S18E70(1176)
gev_20110323_1547,2011/03/23 15:47:00,15:50:00,B5.7,N19E59(1177)
gev_20110323_1706,2011/03/23 17:06:00,17:10:00,C1.1,S18E64(1176)
gev_20110324_0052,2011/03/24 00:52:00,00:56:00,B5.7,S18E59(1176)
gev_20110324_0252,2011/03/24 02:52:00,02:55:00,B6.2,S19E58(1176)
gev_20110324_1108,2011/03/24 11:08:00,11:20:00,B5.8,S27W60(1173)
gev_20110324_1201,2011/03/24 12:01:00,12:07:00,M1.0,S15E43()
gev_20110324_1531,2011/03/24 15:31:00,15:37:00,C1.6,S14E41()
gev_20110324_1655,2011/03/24 16:55:00,16:58:00,B6.6,S13E41(1176)
gev_20110324_1701,2011/03/24 17:01:00,17:06:00,C9.1,S14E40()
gev_20110324_1715,2011/03/24 17:15:00,17:19:00,B9.6,S19E50(1176)
gev_20110324_1823,2011/03/24 18:23:00,18:27:00,B8.4,S14E40()
gev_20110324_1851,2011/03/24 18:51:00,18:57:00,C1.3,S14E39()
gev_20110324_2020,2011/03/24 20:20:00,20:24:00,B6.8,S14E39()
gev_20110324_2053,2011/03/24 20:53:00,20:57:00,C1.4,S13E38()
gev_20110319_1621,2011/03/19 16:21:00,16:34:00,B2.7,N22W60(1174)
gev_20110319_2013,2011/03/19 20:13:00,20:16:00,B3.4,S29E00(1173)
